player,matches,inn,overs,maiden,runs,wkts,bb_inn,avg,econ,sr,_4w,_5w,season
SK Raina (IND),7,5,30.0,0,141,5,1/12,28.20,4.70,36.0,0,0,2014
Sharafuddin Ashraf (AFG),4,4,36.2,0,161,5,3/29,32.20,4.43,43.6,0,0,2014
CR Woakes (ENG),4,4,32.0,3,196,5,4/52,39.20,6.12,38.4,1,0,2014
Aftab Alam (AFG),2,2,17.0,3,74,4,2/30,18.50,4.35,25.5,0,0,2014
Amir Hamza (AFG),2,2,18.0,1,80,4,3/30,20.00,4.44,27.0,0,0,2014
Mustafizur Rahman (BAN),6,6,53.2,4,227,18,6/43,12.61,4.25,17.7,0,2,2015
AU Rashid (ENG),11,10,89.0,1,560,15,4/55,37.33,6.29,35.6,2,0,2015
PJ Cummins (AUS),6,6,49.0,2,255,14,4/49,18.21,5.20,21.0,2,0,2015
ST Finn (ENG),9,9,74.0,6,423,12,4/35,35.25,5.71,37.0,1,0,2015
BA Stokes (ENG),10,9,61.0,0,383,12,3/52,31.91,6.27,30.5,0,0,2015
DJ Willey (ENG),6,6,48.0,5,289,12,3/51,24.08,6.02,24.0,0,0,2015
K Rabada (SA),5,5,40.1,4,184,11,6/16,16.72,4.58,21.9,0,1,2015
Rahat Ali (PAK),7,7,58.1,0,378,11,3/73,34.36,6.49,31.7,0,0,2015
Shakib Al Hasan (BAN),9,9,76.2,2,319,11,3/33,29.00,4.17,41.6,0,0,2015
MJ McClenaghan (NZ),8,8,72.4,2,495,10,3/36,49.50,6.81,43.6,0,0,2015
Mashrafe Mortaza (BAN),8,8,61.0,0,342,10,3/76,34.20,5.60,36.6,0,0,2015
Rubel Hossain (BAN),8,8,58.0,5,315,10,2/26,31.50,5.43,34.8,0,0,2015
Wahab Riaz (PAK),6,6,46.0,0,240,9,4/59,26.66,5.21,30.6,1,0,2015
Anwar Ali (PAK),8,8,56.0,0,364,8,2/24,45.50,6.50,42.0,0,0,2015
NL McCullum (NZ),6,6,49.0,0,328,8,3/62,41.00,6.69,36.7,0,0,2015
MR Marsh (AUS),6,6,36.0,1,219,8,4/27,27.37,6.08,27.0,1,0,2015
GJ Maxwell (AUS),6,5,40.0,0,224,8,2/41,28.00,5.60,30.0,0,0,2015
Nasir Hossain (BAN),9,9,60.4,1,249,8,3/26,31.12,4.10,45.5,0,0,2015
BM Wheeler (NZ),6,6,51.3,3,315,8,3/63,39.37,6.11,38.6,0,0,2015
Yasir Shah (PAK),8,7,64.0,1,324,8,4/29,40.50,5.06,48.0,1,0,2015
STR Binny (IND),4,4,33.0,1,192,7,3/55,27.42,5.81,28.2,0,0,2015
GD Elliott (NZ),11,10,44.0,0,258,7,2/27,36.85,5.86,37.7,0,0,2015
Imran Tahir (SA),6,6,52.5,4,233,7,2/36,33.28,4.41,45.2,0,0,2015
B Kumar (IND),5,5,38.0,5,149,7,4/33,21.28,3.92,32.5,1,0,2015
Mohammad Hafeez (PAK),11,6,44.0,2,226,7,4/41,32.28,5.13,37.7,1,0,2015
AR Patel (IND),5,5,42.4,3,212,7,2/39,30.28,4.96,36.5,0,0,2015
MJ Santner (NZ),5,5,30.0,0,230,7,3/31,32.85,7.66,25.7,0,0,2015
MA Starc (AUS),5,5,41.0,1,247,7,2/34,35.28,6.02,35.1,0,0,2015
MM Ali (ENG),5,5,40.0,2,202,6,3/32,33.66,5.05,40.0,0,0,2015
Arafat Sunny (BAN),4,4,36.0,1,173,6,3/47,28.83,4.80,36.0,0,0,2015
R Ashwin (IND),3,3,30.0,3,118,6,3/51,19.66,3.93,30.0,0,0,2015
TA Boult (NZ),2,2,20.0,1,108,6,4/55,18.00,5.40,20.0,1,0,2015
CJ Chibhabha (ZIM),8,7,40.0,4,192,6,2/25,32.00,4.80,40.0,0,0,2015
NM Coulter-Nile (AUS),3,3,20.4,2,102,6,3/13,17.00,4.93,20.6,0,0,2015
AG Cremer (ZIM),8,8,70.0,0,381,6,3/44,63.50,5.44,70.0,0,0,2015
N Madziva (ZIM),3,3,25.0,0,149,6,4/49,24.83,5.96,25.0,1,0,2015
LE Plunkett (ENG),5,5,40.0,0,257,6,3/60,42.83,6.42,40.0,0,0,2015
IS Sodhi (NZ),6,6,58.0,2,319,6,3/38,53.16,5.50,58.0,0,0,2015
MJ Henry (NZ),6,6,52.0,2,354,5,2/64,70.80,6.80,62.4,0,0,2015
DS Kulkarni (IND),4,4,33.0,1,175,5,2/34,35.00,5.30,39.6,0,0,2015
AF Milne (NZ),3,3,30.0,1,134,5,2/39,26.80,4.46,36.0,0,0,2015
Taskin Ahmed (BAN),5,5,28.0,2,150,5,3/42,30.00,5.35,33.6,0,0,2015
D Wiese (SA),3,3,20.0,0,144,5,3/58,28.80,7.20,24.0,0,0,2015
MA Wood (ENG),7,7,59.0,1,344,5,1/25,68.80,5.83,70.8,0,0,2015
DAJ Bracewell (NZ),2,2,20.0,1,85,4,3/31,21.25,4.25,30.0,0,0,2015
Harbhajan Singh (IND),3,3,30.0,0,110,4,2/35,27.50,3.66,45.0,0,0,2015
SL Malinga (SL),4,4,37.0,2,246,4,2/64,61.50,6.64,55.5,0,0,2015
Mohammad Irfan (PAK),5,5,47.0,2,257,4,3/50,64.25,5.46,70.5,0,0,2015
Sikandar Raza (ZIM),9,7,28.0,0,183,4,3/59,45.75,6.53,42.0,0,0,2015
TG Southee (NZ),4,4,31.2,1,210,4,3/44,52.50,6.70,47.0,0,0,2015
MA Starc (AUS),10,10,86.5,3,389,20,3/32,19.45,4.47,26.0,0,0,2016
A Zampa (AUS),10,10,83.3,0,411,19,3/16,21.63,4.92,26.3,0,0,2016
BJ McCarthy (IRE),7,7,59.2,3,360,18,4/59,20.00,6.06,19.7,2,0,2016
LE Plunkett (ENG),9,9,81.0,0,464,15,3/44,30.93,5.72,32.4,0,0,2016
AU Rashid (ENG),9,9,88.0,0,450,14,3/47,32.14,5.11,37.7,0,0,2016
CR Woakes (ENG),9,9,78.3,6,400,14,4/41,28.57,5.09,33.6,1,0,2016
JP Faulkner (AUS),9,8,68.2,1,315,13,4/38,24.23,4.60,31.5,1,0,2016
Imran Tahir (SA),6,5,46.0,0,210,13,7/45,16.15,4.56,21.2,0,1,2016
JR Hazlewood (AUS),9,8,71.2,7,328,12,5/50,27.33,4.59,35.6,0,1,2016
SP Narine (WI),7,7,69.5,3,285,12,6/27,23.75,4.08,34.9,0,1,2016
AC Evans (SCOT),6,6,44.5,1,272,11,4/41,24.72,6.06,24.4,1,0,2016
KJ O'Brien (IRE),7,7,63.1,1,354,11,4/45,32.18,5.60,34.4,1,0,2016
DJ Willey (ENG),7,7,62.4,4,340,10,4/34,34.00,5.42,37.6,1,0,2016
CR Brathwaite (WI),7,7,58.0,4,311,9,2/35,34.55,5.36,38.6,0,0,2016
JJ Bumrah (IND),3,3,25.5,3,77,9,4/22,8.55,2.98,17.2,2,0,2016
JW Hastings (AUS),3,3,27.0,2,116,9,6/45,12.88,4.29,18.0,0,1,2016
Imad Wasim (PAK),5,5,37.4,0,158,9,5/14,17.55,4.19,25.1,0,1,2016
RAS Lakmal (SL),7,7,52.0,2,275,9,4/38,30.55,5.28,34.6,1,0,2016
AD Mathews (SL),11,8,44.0,1,198,9,2/17,22.00,4.50,29.3,0,0,2016
MDK Perera (SL),5,5,47.0,1,256,9,3/48,28.44,5.44,31.3,0,0,2016
Rashid Khan (AFG),6,5,44.0,2,180,9,4/21,20.00,4.09,29.3,1,0,2016
PKD Chase (IRE),5,5,45.0,0,271,8,2/39,33.87,6.02,33.7,0,0,2016
Dawlat Zadran (AFG),6,5,39.5,2,185,8,2/29,23.12,4.64,29.8,0,0,2016
CD de Lange (SCOT),6,6,47.0,3,183,8,2/26,22.87,3.89,35.2,0,0,2016
Hasan Ali (PAK),5,5,44.0,0,260,8,4/60,32.50,5.90,33.0,1,0,2016
Mohammad Nabi (AFG),6,5,37.0,1,168,8,3/26,21.00,4.54,27.7,0,0,2016
TJ Murtagh (IRE),7,7,65.0,4,299,8,3/66,37.37,4.60,48.7,0,0,2016
MA Aponso (SL),5,5,43.2,1,181,7,4/18,25.85,4.17,37.1,1,0,2016
JO Holder (WI),7,7,51.0,3,257,7,2/44,36.71,5.03,43.7,0,0,2016
K Rabada (SA),6,5,41.0,3,190,7,3/13,27.14,4.63,35.1,0,0,2016
SM Sharif (SCOT),6,6,41.4,2,212,7,3/25,30.28,5.08,35.7,0,0,2016
CB Sole (SCOT),3,3,23.0,0,101,7,4/28,14.42,4.39,19.7,1,0,2016
MA Wood (ENG),4,4,40.0,1,234,7,3/46,33.42,5.85,34.2,0,0,2016
YS Chahal (IND),3,3,24.0,3,77,6,3/25,12.83,3.20,24.0,0,0,2016
N Pradeep (SL),6,5,39.0,0,277,6,2/64,46.16,7.10,39.0,0,0,2016
ST Gabriel (WI),3,3,21.0,2,118,6,3/17,19.66,5.61,21.0,0,0,2016
AM Phangiso (SA),3,3,24.2,1,118,6,3/40,19.66,4.84,24.3,0,0,2016
S Prasanna (SL),9,8,67.0,2,397,6,2/32,66.16,5.92,67.0,0,0,2016
MD Shanaka (SL),7,5,21.0,0,121,6,5/43,20.16,5.76,21.0,0,1,2016
Umar Gul (PAK),4,4,31.0,1,185,6,3/23,30.83,5.96,31.0,0,0,2016
NM Coulter-Nile (AUS),3,3,27.4,2,151,5,2/38,30.20,5.45,33.2,0,0,2016
MD Gunathilaka (SL),10,5,25.0,0,142,5,3/48,28.40,5.68,30.0,0,0,2016
DS Kulkarni (IND),3,3,25.2,3,90,5,2/31,18.00,3.55,30.4,0,0,2016
NM Lyon (AUS),3,3,29.0,2,128,5,3/39,25.60,4.41,34.8,0,0,2016
Mohammad Amir (PAK),5,5,40.0,3,201,5,3/50,40.20,5.02,48.0,0,0,2016
WD Parnell (SA),5,4,28.5,1,163,5,2/23,32.60,5.65,34.6,0,0,2016
KA Pollard (WI),7,5,27.4,0,182,5,2/32,36.40,6.57,33.2,0,0,2016
MM Ali (ENG),7,7,61.0,0,327,4,2/39,81.75,5.36,91.5,0,0,2016
SM Boland (AUS),4,3,26.2,1,133,4,2/69,33.25,5.05,39.5,0,0,2016
AR McBrine (IRE),6,6,41.0,1,227,4,2/29,56.75,5.53,61.5,0,0,2016
LE Plunkett (ENG),13,12,99.4,0,554,23,5/52,24.08,5.55,26.0,2,1,2017
AU Rashid (ENG),13,11,99.0,2,521,22,5/27,23.68,5.26,27.0,1,1,2017
JJ Bumrah (IND),10,10,85.2,5,379,19,5/27,19.94,4.44,26.9,1,1,2017
Hasan Ali (PAK),8,8,64.2,4,301,19,5/38,15.84,4.67,20.3,0,1,2017
JO Holder (WI),15,14,114.0,6,633,15,5/27,42.20,5.55,45.6,0,1,2017
AS Joseph (WI),11,10,82.1,3,506,15,5/56,33.73,6.15,32.8,0,1,2017
A Dananjaya (SL),6,6,60.0,1,317,14,6/54,22.64,5.28,25.7,1,1,2017
B Kumar (IND),12,11,87.1,7,394,14,5/42,28.14,4.52,37.3,0,1,2017
HH Pandya (IND),14,13,97.2,1,515,14,3/40,36.78,5.29,41.7,0,0,2017
AR Nurse (WI),16,14,114.2,2,579,13,4/62,44.53,5.06,52.7,1,0,2017
PKD Chase (IRE),6,6,49.0,0,344,11,3/33,31.27,7.02,26.7,0,0,2017
Junaid Khan (PAK),6,6,49.5,4,256,11,3/40,23.27,5.13,27.1,0,0,2017
Kuldeep Yadav (IND),7,6,57.4,3,229,11,3/41,20.81,3.97,31.4,0,0,2017
AG Cremer (ZIM),7,7,65.1,2,301,10,5/29,30.10,4.61,39.1,0,1,2017
SL Malinga (SL),13,13,103.5,5,623,10,2/44,62.30,6.00,62.3,0,0,2017
Mohammad Amir (PAK),7,7,59.1,4,287,10,3/16,28.70,4.85,35.5,0,0,2017
Rashid Khan (AFG),3,2,18.4,2,44,10,7/18,4.40,2.35,11.2,0,1,2017
UT Yadav (IND),7,6,50.2,3,254,10,3/30,25.40,5.04,30.2,0,0,2017
JT Ball (ENG),10,10,87.0,5,551,9,2/31,61.22,6.33,58.0,0,0,2017
PW Hasaranga (SL),7,7,33.1,0,227,9,3/15,25.22,6.84,22.1,0,0,2017
JR Hazlewood (AUS),3,3,28.0,0,142,9,6/52,15.77,5.07,18.6,0,1,2017
MJ Santner (NZ),7,6,55.0,1,267,9,5/50,29.66,4.85,36.6,0,1,2017
Shadab Khan (PAK),7,7,58.0,1,321,9,2/52,35.66,5.53,38.6,0,0,2017
CR Woakes (ENG),6,5,35.0,2,186,9,4/38,20.66,5.31,23.3,1,0,2017
MA Wood (ENG),8,8,67.1,3,318,9,4/33,35.33,4.73,44.7,1,0,2017
ML Cummins (WI),9,7,59.0,1,392,8,3/82,49.00,6.64,44.2,0,0,2017
N Pradeep (SL),6,6,52.0,2,285,8,3/60,35.62,5.48,39.0,0,0,2017
DAS Gunaratne (SL),8,8,51.0,1,267,8,2/45,33.37,5.23,38.2,0,0,2017
Imran Haider (UAE),3,3,27.0,1,112,8,4/49,14.00,4.14,20.2,1,0,2017
KM Jadhav (IND),14,9,32.5,0,170,8,2/22,21.25,5.17,24.6,0,0,2017
Mustafizur Rahman (BAN),8,7,57.0,3,285,8,4/23,35.62,5.00,42.7,1,0,2017
K Rabada (SA),6,6,52.0,5,268,8,4/39,33.50,5.15,39.0,1,0,2017
TL Chatara (ZIM),7,7,48.0,3,310,7,2/33,44.28,6.45,41.1,0,0,2017
ST Gabriel (WI),5,5,45.4,3,225,7,2/25,32.14,4.92,39.1,0,0,2017
Mashrafe Mortaza (BAN),7,7,57.0,2,288,7,2/18,41.14,5.05,48.8,0,0,2017
BJ McCarthy (IRE),5,5,40.0,0,270,7,2/59,38.57,6.75,34.2,0,0,2017
AF Milne (NZ),4,4,29.2,1,175,7,3/79,25.00,5.96,25.1,0,0,2017
Sikandar Raza (ZIM),7,7,68.0,4,302,7,3/21,43.14,4.44,58.2,0,0,2017
BA Stokes (ENG),9,8,44.1,0,281,7,3/43,40.14,6.36,37.8,0,0,2017
SC Williams (ZIM),7,7,55.0,1,292,7,2/26,41.71,5.30,47.1,0,0,2017
AR Patel (IND),4,4,40.0,1,154,6,3/34,25.66,3.85,40.0,0,0,2017
Rohan Mustafa (UAE),3,3,27.2,1,100,6,5/25,16.66,3.65,27.3,0,1,2017
PADLR Sandakan (SL),4,4,29.2,0,233,6,4/52,38.83,7.94,29.3,1,0,2017
A Vala (PNG),3,3,27.0,1,80,6,3/20,13.33,2.96,27.0,0,0,2017
MM Ali (ENG),11,9,63.0,2,364,5,2/50,72.80,5.77,75.6,0,0,2017
CJ Anderson (NZ),5,4,21.0,0,126,5,3/55,25.20,6.00,25.2,0,0,2017
R Ashwin (IND),6,5,48.0,1,242,5,3/28,48.40,5.04,57.6,0,0,2017
D Bishoo (WI),10,10,84.0,2,409,5,1/31,81.80,4.86,100.8,0,0,2017
YS Chahal (IND),4,4,40.0,1,188,5,2/43,37.60,4.70,48.0,0,0,2017
CD de Lange (SCOT),2,2,10.0,0,68,5,5/60,13.60,6.80,12.0,0,1,2017
AU Rashid (ENG),9,9,86.0,0,479,20,4/47,23.95,5.56,25.8,1,0,2018
Kuldeep Yadav (IND),9,9,88.0,2,385,19,6/25,20.26,4.37,27.7,0,1,2018
Rashid Khan (AFG),8,8,73.4,5,268,18,3/18,14.88,3.63,24.5,0,0,2018
A Dananjaya (SL),6,6,52.0,0,289,16,6/29,18.06,5.55,19.5,0,1,2018
Mustafizur Rahman (BAN),8,8,68.3,3,327,15,4/43,21.80,4.77,27.4,1,0,2018
MM Ali (ENG),9,9,78.5,1,422,14,4/46,30.14,5.35,33.7,1,0,2018
LE Plunkett (ENG),8,8,58.1,2,358,14,4/46,25.57,6.15,24.9,2,0,2018
Mashrafe Mortaza (BAN),9,9,75.0,4,396,13,4/37,30.46,5.28,34.6,1,0,2018
NLTC Perera (SL),7,6,39.3,0,261,13,5/55,20.07,6.60,18.2,1,1,2018
Shadab Khan (PAK),9,9,66.1,1,298,13,4/28,22.92,4.50,30.5,2,0,2018
Usman Shinwari (PAK),7,7,45.3,4,203,12,4/36,16.91,4.46,22.7,1,0,2018
DJ Willey (ENG),8,8,63.0,0,365,12,4/43,30.41,5.79,31.5,1,0,2018
Aftab Alam (AFG),8,8,65.3,5,304,11,3/54,27.63,4.64,35.7,0,0,2018
Faheem Ashraf (PAK),6,6,35.1,4,108,11,5/22,9.81,3.07,19.1,0,1,2018
Hasan Ali (PAK),8,8,61.2,3,308,11,3/32,28.00,5.02,33.4,0,0,2018
Mohammad Nabi (AFG),8,8,77.0,4,294,11,2/26,26.72,3.81,42.0,0,0,2018
Rubel Hossain (BAN),8,8,57.0,3,282,11,3/61,25.63,4.94,31.0,0,0,2018
L Ngidi (SA),4,4,32.2,2,201,10,4/57,20.10,6.21,19.4,1,0,2018
Mujeeb Ur Rahman (AFG),8,8,74.1,6,257,9,2/22,28.55,3.46,49.4,0,0,2018
TJ Murtagh (IRE),3,3,27.0,2,100,9,4/30,11.11,3.70,18.0,2,0,2018
AL Phehlukwayo (SA),5,5,35.0,0,254,9,3/45,28.22,7.25,23.3,0,0,2018
Shakib Al Hasan (BAN),7,7,63.4,2,305,9,4/42,33.88,4.79,42.4,1,0,2018
JJ Bumrah (IND),4,4,34.5,4,128,8,3/37,16.00,3.67,26.1,0,0,2018
YS Chahal (IND),8,8,74.0,1,332,8,3/46,41.50,4.48,55.5,0,0,2018
Gulbadin Naib (AFG),8,8,59.0,2,323,8,2/29,40.37,5.47,44.2,0,0,2018
S Lamichhane (NEP),3,3,30.0,2,107,8,4/24,13.37,3.56,22.5,1,0,2018
RA Jadeja (IND),4,4,35.0,1,156,7,4/29,22.28,4.45,30.0,1,0,2018
Junaid Khan (PAK),4,4,27.0,3,93,7,4/19,13.28,3.44,23.1,1,0,2018
RAS Lakmal (SL),6,6,41.0,1,249,7,3/46,35.57,6.07,35.1,0,0,2018
Mehidy Hasan Miraz (BAN),9,9,78.0,6,293,7,2/21,41.85,3.75,66.8,0,0,2018
MA Wood (ENG),8,8,64.0,5,363,7,2/49,51.85,5.67,54.8,0,0,2018
KM Jadhav (IND),6,5,35.0,1,139,6,3/23,23.16,3.97,35.0,0,0,2018
FJ Klaassen (NED),2,2,20.0,2,68,6,3/30,11.33,3.40,20.0,0,0,2018
B Kumar (IND),6,6,49.0,2,225,6,3/15,37.50,4.59,49.0,0,0,2018
K Rabada (SA),4,4,35.0,1,170,6,4/41,28.33,4.85,35.0,1,0,2018
KW Richardson (AUS),3,3,26.0,1,156,6,3/51,26.00,6.00,26.0,0,0,2018
